model,llc_lambda_hat,llc_lambda_std,loss_star,posterior_mean_loss,mean_delta_norm_pct,n_tokens,beta
attention,0.23109465144300015,0.03828985457720702,2.2472757697105408,2.2481361255049706,1.4610385830253205,2048,0.1311540946262694
ravel,0.20281970301482213,0.07309223061448586,1.561893160144488,1.5626482494796317,1.237565934731495,2048,0.1311540946262694
