model,chain,step,phase,loss,base_checkpoint_loss,delta_from_checkpoint,delta_norm_pct
ravel,0,10,burn,1.581175446510315,1.5811938643455505,-1.8417835235595703e-05,0.12949271590587969
ravel,0,20,sample,1.5813477635383606,1.5811938643455505,0.0001538991928100586,0.1830945585026751
ravel,0,30,sample,1.5813392996788025,1.5811938643455505,0.00014543533325195312,0.22470816146610503
attention,0,10,burn,2.234348177909851,2.2342419624328613,0.0001062154769897461,0.15317982126825658
attention,0,20,sample,2.234388291835785,2.2342419624328613,0.00014632940292358398,0.21649270391892597
attention,0,30,sample,2.2344338297843933,2.2342419624328613,0.00019186735153198242,0.2654156763258666
