model,chain,n_tokens,beta,loss_star,posterior_mean_loss,llc_lambda_hat,mean_delta_norm_pct
attention,0,1024,0.14426950408889633,2.2342419624328613,2.234411060810089,0.02498123676148675,0.24095419012239627
ravel,0,1024,0.14426950408889633,1.581175446510315,1.5813435316085815,0.02483154306217576,0.20390135998439007
