model,llc_lambda_hat,llc_lambda_std,loss_star,posterior_mean_loss,mean_delta_norm_pct,n_tokens,beta
attention,0.02498123676148675,0.0,2.2342419624328613,2.234411060810089,0.24095419012239627,1024,0.14426950408889633
ravel,0.02483154306217576,0.0,1.581175446510315,1.5813435316085815,0.20390135998439007,1024,0.14426950408889633
