model,chain,step,phase,loss,base_checkpoint_loss,delta_from_checkpoint,delta_norm_pct
ravel,0,10,burn,1.5625082701444626,1.5622173845767975,0.0002908855676651001,0.2895544936315475
ravel,0,20,burn,1.562772050499916,1.5622173845767975,0.0005546659231185913,0.40941173571611056
ravel,0,30,burn,1.5627846866846085,1.5622173845767975,0.0005673021078109741,0.5024624862663081
ravel,0,40,burn,1.5628388077020645,1.5622173845767975,0.0006214231252670288,0.5808406669542773
ravel,0,50,burn,1.5627061128616333,1.5622173845767975,0.0004887282848358154,0.649537952476193
ravel,0,60,burn,1.5626381784677505,1.5622173845767975,0.00042079389095306396,0.7120676266064428
ravel,0,70,burn,1.5621944069862366,1.5622173845767975,-2.2977590560913086e-05,0.7689946336059721
ravel,0,80,burn,1.5623220354318619,1.5622173845767975,0.00010465085506439209,0.8224570664962764
ravel,0,90,burn,1.5624290108680725,1.5622173845767975,0.00021162629127502441,0.871562887882293
ravel,0,100,burn,1.5622419863939285,1.5622173845767975,2.460181713104248e-05,0.917869610280041
ravel,0,110,sample,1.562395140528679,1.5622173845767975,0.0001777559518814087,0.9628421776645162
ravel,0,120,sample,1.5617082864046097,1.5622173845767975,-0.0005090981721878052,1.0065813260341443
ravel,0,130,sample,1.561837375164032,1.5622173845767975,-0.00038000941276550293,1.0484053094530625
ravel,0,140,sample,1.5618229657411575,1.5622173845767975,-0.0003944188356399536,1.0871777468560304
ravel,0,150,sample,1.5614871084690094,1.5622173845767975,-0.0007302761077880859,1.1246775533741262
ravel,0,160,sample,1.561524897813797,1.5622173845767975,-0.0006924867630004883,1.1616559766419898
ravel,0,170,sample,1.5615933686494827,1.5622173845767975,-0.0006240159273147583,1.1975541300027588
ravel,0,180,sample,1.5613155663013458,1.5622173845767975,-0.0009018182754516602,1.2321400900222712
ravel,0,190,sample,1.561244711279869,1.5622173845767975,-0.0009726732969284058,1.265482527440625
ravel,0,200,sample,1.561324268579483,1.5622173845767975,-0.0008931159973144531,1.297775642693174
ravel,0,210,sample,1.5617337375879288,1.5622173845767975,-0.0004836469888687134,1.330272011420273
ravel,0,220,sample,1.5618428438901901,1.5622173845767975,-0.00037454068660736084,1.3611240292804738
ravel,0,230,sample,1.5619435906410217,1.5622173845767975,-0.00027379393577575684,1.391901203855189
ravel,0,240,sample,1.5623479038476944,1.5622173845767975,0.00013051927089691162,1.4223456031538146
ravel,0,250,sample,1.5623846352100372,1.5622173845767975,0.0001672506332397461,1.4523644119201227
ravel,0,260,sample,1.562390759587288,1.5622173845767975,0.00017337501049041748,1.4814334116841656
ravel,1,10,burn,1.562414899468422,1.5622173845767975,0.00019751489162445068,0.29018739184543274
ravel,1,20,burn,1.5626914650201797,1.5622173845767975,0.0004740804433822632,0.4100753530090768
ravel,1,30,burn,1.5625300705432892,1.5622173845767975,0.0003126859664916992,0.5018248211729794
ravel,1,40,burn,1.5625016242265701,1.5622173845767975,0.00028423964977264404,0.5792262907525225
