suite,mode,batch_size,block_size,tokens_per_step,ravel_tokens_per_sec,attention_tokens_per_sec,ravel_step_ms,attention_step_ms,ravel_speedup,ravel_step_time_ratio
context,compiled,8,128,1024,138766.70966795276,123004.23668563052,7.37929149181582,8.32491650362499,1.128145772918435,0.8864102707339577
context,compiled,4,256,1024,76570.40851824773,86503.23182390346,13.373312482144684,11.837708007078618,0.8851739629118573,1.1297214354457652
context,compiled,2,512,1024,132251.69384546805,61966.16776861686,7.7428119839169085,16.525146493222564,2.1342564597394342,0.46854725234009015
context,compiled,1,1024,1024,133866.05181578037,33974.808006953695,7.6494375243783,30.139979004161432,3.9401562413062563,0.2537970422382225
context,eager,8,128,1024,99326.66887952611,98609.29569392272,10.309416509699076,10.3844165278133,1.0072749042628808,0.9927776377311767
context,eager,4,256,1024,95294.41044589468,69062.90443805889,10.745645995484663,14.827062492258849,1.3798204871525828,0.7247319555775072
context,eager,2,512,1024,93962.73383710452,39220.7555996991,10.897937492700294,26.10862499568611,2.395740020822684,0.4174075614667928
context,eager,1,1024,1024,77365.7358313714,21912.551219303805,13.235833524959162,46.731208509299904,3.5306585279406564,0.28323328129477154
tokens,compiled,1,512,512,105602.40302003353,60759.94526694806,4.848374519497156,8.426604035776109,1.7380266317895892,0.5753651766373297
tokens,compiled,2,512,1024,124801.31846187264,58525.363808091504,8.205041522160172,17.49668747652322,2.132431314243587,0.4689482813915244
tokens,compiled,4,512,2048,135477.36401738934,51737.612612174315,15.116916503757238,39.584354526596144,2.6185468787075483,0.38189119627049634
tokens,eager,1,512,512,65389.87415283104,39295.25791266718,7.82995848567225,13.02956201834604,1.6640652746995213,0.600937965117125
tokens,eager,2,512,1024,93915.694010626,39008.50291426213,10.903395974310117,26.25068699126132,2.4075698115625177,0.41535659535081065
tokens,eager,4,512,2048,100912.80014016703,36741.52247045025,20.29474949813448,55.74074949254282,2.7465601138691844,0.3640917942958334
