model,chain,n_tokens,beta,loss_star,posterior_mean_loss,llc_lambda_hat,mean_delta_norm_pct
attention,0,2048,0.1311540946262694,2.2481478452682495,2.2491315584629774,0.26422889149737466,1.4623948392608126
attention,1,2048,0.1311540946262694,2.2473651468753815,2.248069440945983,0.18917591281742802,1.4594284741764227
attention,2,2048,0.1311540946262694,2.2463143169879913,2.2472073771059513,0.23987915001419782,1.4612924356387262
ravel,0,2048,0.1311540946262694,1.561244711279869,1.5618060724809766,0.15078363154343846,1.2389833219685462
ravel,1,2048,0.1311540946262694,1.5622173845767975,1.5628550928086042,0.1712907177540282,1.2353219696904625
ravel,2,2048,0.1311540946262694,1.5622173845767975,1.563283583149314,0.28638475974699973,1.2383925125354762
