model,direction,radius_pct,signed_radius_pct,loss,delta_loss,weight_norm
ravel,-1,0.0,0.0,1.605656365553538,0.0,33.32229995727539
ravel,0,0.25,-0.25,1.6357535322507222,0.030097166697184097,33.32229995727539
ravel,0,0.25,0.25,1.5563631256421406,-0.049293239911397446,33.32229995727539
ravel,0,0.5,-0.5,1.5525501767794292,-0.05310618877410889,33.32229995727539
ravel,0,0.5,0.5,1.624640941619873,0.01898457606633497,33.32229995727539
ravel,0,1.0,-1.0,1.6110456387201946,0.005389273166656494,33.32229995727539
ravel,0,1.0,1.0,1.5685008764266968,-0.0371554891268413,33.32229995727539
ravel,0,2.0,-2.0,1.6439189910888672,0.03826262553532911,33.32229995727539
ravel,0,2.0,2.0,1.6380749146143596,0.03241854906082153,33.32229995727539
ravel,1,0.25,-0.25,1.5892433722813923,-0.016412993272145737,33.32229995727539
ravel,1,0.25,0.25,1.6490469773610432,0.04339061180750514,33.32229995727539
ravel,1,0.5,-0.5,1.6244993011156719,0.01884293556213379,33.32229995727539
ravel,1,0.5,0.5,1.5291807651519775,-0.07647560040156054,33.32229995727539
ravel,1,1.0,-1.0,1.5600368579228718,-0.045619507630666245,33.32229995727539
ravel,1,1.0,1.0,1.580506424109141,-0.025149941444396973,33.32229995727539
ravel,1,2.0,-2.0,1.598200758298238,-0.007455607255300034,33.32229995727539
ravel,1,2.0,2.0,1.6434374849001567,0.03778111934661865,33.32229995727539
ravel,2,0.25,-0.25,1.5997647841771443,-0.005891581376393784,33.32229995727539
ravel,2,0.25,0.25,1.6269145806630452,0.021258215109507095,33.32229995727539
ravel,2,0.5,-0.5,1.6021331747372944,-0.0035231908162436376,33.32229995727539
ravel,2,0.5,0.5,1.642734706401825,0.03707834084828687,33.32229995727539
ravel,2,1.0,-1.0,1.6430496374766033,0.037393271923065186,33.32229995727539
ravel,2,1.0,1.0,1.6332707206408184,0.027614355087280273,33.32229995727539
ravel,2,2.0,-2.0,1.5458405017852783,-0.05981586376825976,33.32229995727539
ravel,2,2.0,2.0,1.5838423371315002,-0.021814028422037834,33.32229995727539
ravel,3,0.25,-0.25,1.6310293475786846,0.025372982025146484,33.32229995727539
ravel,3,0.25,0.25,1.6501158277193706,0.04445946216583252,33.32229995727539
ravel,3,0.5,-0.5,1.5720920165379841,-0.03356434901555394,33.32229995727539
ravel,3,0.5,0.5,1.5671353538831074,-0.03852101167043065,33.32229995727539
ravel,3,1.0,-1.0,1.6006909211476643,-0.0049654444058737646,33.32229995727539
ravel,3,1.0,1.0,1.605061411857605,-0.0005949536959330981,33.32229995727539
ravel,3,2.0,-2.0,1.594735046227773,-0.010921319325765122,33.32229995727539
ravel,3,2.0,2.0,1.5659475326538086,-0.039708832899729485,33.32229995727539
ravel,4,0.25,-0.25,1.5879449645678203,-0.017711400985717773,33.32229995727539
ravel,4,0.25,0.25,1.6387425462404888,0.033086180686950684,33.32229995727539
ravel,4,0.5,-0.5,1.6493683457374573,0.0437119801839192,33.32229995727539
ravel,4,0.5,0.5,1.6277899344762166,0.02213356892267848,33.32229995727539
ravel,4,1.0,-1.0,1.5910084247589111,-0.014647940794626946,33.32229995727539
ravel,4,1.0,1.0,1.6086426377296448,0.002986272176106697,33.32229995727539
ravel,4,2.0,-2.0,1.5984047253926594,-0.007251640160878647,33.32229995727539
ravel,4,2.0,2.0,1.6613954901695251,0.05573912461598707,33.32229995727539
ravel,5,0.25,-0.25,1.594400942325592,-0.011255423227946038,33.32229995727539
ravel,5,0.25,0.25,1.5697240432103474,-0.03593232234319066,33.32229995727539
ravel,5,0.5,-0.5,1.6119013627370198,0.006244997183481704,33.32229995727539
ravel,5,0.5,0.5,1.5676745374997456,-0.037981828053792466,33.32229995727539
ravel,5,1.0,-1.0,1.6279851198196411,0.022328754266103035,33.32229995727539
ravel,5,1.0,1.0,1.5521205862363179,-0.0535357793172202,33.32229995727539
ravel,5,2.0,-2.0,1.6139959494272869,0.00833958387374878,33.32229995727539
ravel,5,2.0,2.0,1.6203097701072693,0.014653404553731209,33.32229995727539
ravel,6,0.25,-0.25,1.569494088490804,-0.036162277062734116,33.32229995727539
ravel,6,0.25,0.25,1.598621129989624,-0.007035235563914055,33.32229995727539
ravel,6,0.5,-0.5,1.5596055189768474,-0.046050846576690674,33.32229995727539
ravel,6,0.5,0.5,1.5799536506334941,-0.025702714920043945,33.32229995727539
ravel,6,1.0,-1.0,1.6301286419232686,0.024472276369730483,33.32229995727539
ravel,6,1.0,1.0,1.63382089138031,0.02816452582677198,33.32229995727539
ravel,6,2.0,-2.0,1.6169143716494243,0.01125800609588623,33.32229995727539
ravel,6,2.0,2.0,1.5597505966822307,-0.04590576887130737,33.32229995727539
ravel,7,0.25,-0.25,1.6205637852350872,0.014907419681549072,33.32229995727539
ravel,7,0.25,0.25,1.5688350200653076,-0.03682134548823046,33.32229995727539
ravel,7,0.5,-0.5,1.6427528063456218,0.03709644079208374,33.32229995727539
ravel,7,0.5,0.5,1.6324608127276103,0.026804447174072266,33.32229995727539
ravel,7,1.0,-1.0,1.5624410311381023,-0.04321533441543579,33.32229995727539
ravel,7,1.0,1.0,1.5991035898526509,-0.006552775700887192,33.32229995727539
ravel,7,2.0,-2.0,1.5693651636441548,-0.036291201909383286,33.32229995727539
ravel,7,2.0,2.0,1.6195051471392314,0.01384878158569336,33.32229995727539
attention,-1,0.0,0.0,2.3036823670069375,0.0,27.947099685668945
attention,0,0.25,-0.25,2.2536474466323853,-0.05003492037455226,27.947099685668945
attention,0,0.25,0.25,2.2558013200759888,-0.047881046930948745,27.947099685668945
attention,0,0.5,-0.5,2.2253328561782837,-0.07834951082865382,27.947099685668945
attention,0,0.5,0.5,2.257890979448954,-0.0457913875579834,27.947099685668945
attention,0,1.0,-1.0,2.276605407396952,-0.02707695960998535,27.947099685668945
attention,0,1.0,1.0,2.263094504674276,-0.04058786233266165,27.947099685668945
attention,0,2.0,-2.0,2.2819908062616983,-0.021691560745239258,27.947099685668945
attention,0,2.0,2.0,2.272440473238627,-0.031241893768310547,27.947099685668945
attention,1,0.25,-0.25,2.275305469830831,-0.028376897176106475,27.947099685668945
attention,1,0.25,0.25,2.2839718659718833,-0.01971050103505423,27.947099685668945
attention,1,0.5,-0.5,2.303744117418925,6.175041198730469e-05,27.947099685668945
attention,1,0.5,0.5,2.2325987418492637,-0.07108362515767386,27.947099685668945
attention,1,1.0,-1.0,2.2451311349868774,-0.05855123202006007,27.947099685668945
attention,1,1.0,1.0,2.3020064433415732,-0.0016759236653642873,27.947099685668945
attention,1,2.0,-2.0,2.2753849824269614,-0.028297384579976104,27.947099685668945
attention,1,2.0,2.0,2.2808916171391806,-0.022790749867756865,27.947099685668945
attention,2,0.25,-0.25,2.238699038823446,-0.06498332818349173,27.947099685668945
attention,2,0.25,0.25,2.2943549950917563,-0.009327371915181182,27.947099685668945
attention,2,0.5,-0.5,2.289301594098409,-0.01438077290852835,27.947099685668945
attention,2,0.5,0.5,2.2934020360310874,-0.010280330975850127,27.947099685668945
attention,2,1.0,-1.0,2.3082725207010903,0.004590153694152832,27.947099685668945
attention,2,1.0,1.0,2.2765725453694663,-0.02710982163747122,27.947099685668945
attention,2,2.0,-2.0,2.2507978677749634,-0.052884499231974136,27.947099685668945
attention,2,2.0,2.0,2.264875570933024,-0.038806796073913574,27.947099685668945
attention,3,0.25,-0.25,2.304661750793457,0.0009793837865195165,27.947099685668945
attention,3,0.25,0.25,2.2691146532694497,-0.03456771373748779,27.947099685668945
attention,3,0.5,-0.5,2.285426219304403,-0.018256147702534697,27.947099685668945
attention,3,0.5,0.5,2.246449828147888,-0.05723253885904933,27.947099685668945
attention,3,1.0,-1.0,2.2782583236694336,-0.02542404333750392,27.947099685668945
attention,3,1.0,1.0,2.2500499486923218,-0.05363241831461574,27.947099685668945
attention,3,2.0,-2.0,2.2852500279744468,-0.018432339032490752,27.947099685668945
attention,3,2.0,2.0,2.245396614074707,-0.058285752932230483,27.947099685668945
attention,4,0.25,-0.25,2.2525989214579263,-0.05108344554901123,27.947099685668945
attention,4,0.25,0.25,2.3179134527842202,0.014231085777282715,27.947099685668945
attention,4,0.5,-0.5,2.310243288675944,0.006560921669006348,27.947099685668945
attention,4,0.5,0.5,2.2945619424184165,-0.009120424588521026,27.947099685668945
attention,4,1.0,-1.0,2.250414252281189,-0.05326811472574855,27.947099685668945
attention,4,1.0,1.0,2.263817548751831,-0.03986481825510646,27.947099685668945
attention,4,2.0,-2.0,2.2271049420038858,-0.07657742500305176,27.947099685668945
attention,4,2.0,2.0,2.3146113554636636,0.010928988456726074,27.947099685668945
attention,5,0.25,-0.25,2.266833742459615,-0.036848624547322295,27.947099685668945
attention,5,0.25,0.25,2.279061476389567,-0.024620890617370605,27.947099685668945
attention,5,0.5,-0.5,2.2765217622121177,-0.027160604794819854,27.947099685668945
attention,5,0.5,0.5,2.263216495513916,-0.0404658714930215,27.947099685668945
attention,5,1.0,-1.0,2.296976606051127,-0.006705760955810547,27.947099685668945
attention,5,1.0,1.0,2.2285879055658975,-0.07509446144104004,27.947099685668945
attention,5,2.0,-2.0,2.2414832512537637,-0.06219911575317383,27.947099685668945
attention,5,2.0,2.0,2.260194778442383,-0.0434875885645547,27.947099685668945
attention,6,0.25,-0.25,2.2510897715886435,-0.052592595418293975,27.947099685668945
attention,6,0.25,0.25,2.25881294409434,-0.044869422912597656,27.947099685668945
attention,6,0.5,-0.5,2.2450002431869507,-0.05868212381998683,27.947099685668945
attention,6,0.5,0.5,2.3020187616348267,-0.0016636053721108546,27.947099685668945
attention,6,1.0,-1.0,2.3143285512924194,0.010646184285481919,27.947099685668945
attention,6,1.0,1.0,2.27317476272583,-0.030507604281107437,27.947099685668945
attention,6,2.0,-2.0,2.2591444651285806,-0.044537901878356934,27.947099685668945
attention,6,2.0,2.0,2.2244077920913696,-0.07927457491556789,27.947099685668945
attention,7,0.25,-0.25,2.2661186059316,-0.03756376107533743,27.947099685668945
attention,7,0.25,0.25,2.278814117113749,-0.024868249893188477,27.947099685668945
attention,7,0.5,-0.5,2.3066868782043457,0.0030045111974081884,27.947099685668945
attention,7,0.5,0.5,2.277206818262736,-0.02647554874420166,27.947099685668945
attention,7,1.0,-1.0,2.286535660425822,-0.017146706581115723,27.947099685668945
attention,7,1.0,1.0,2.2865857680638633,-0.017096598943074248,27.947099685668945
attention,7,2.0,-2.0,2.2227083841959634,-0.08097398281097412,27.947099685668945
attention,7,2.0,2.0,2.269128998120626,-0.03455336888631155,27.947099685668945
